,fname1,fname2,distance,runtime
111,K00262_sankoff.gr,K01669_genesis.gr,5,0.0018782615661621094
112,K00262_sankoff.gr,K03179_genesis.gr,8,0.0013740062713623047
113,K00262_sankoff.gr,K00162_genesis.gr,6,0.0013124942779541016
114,K00262_sankoff.gr,K00161_fitch.gr,6,0.0015168190002441406
115,K00262_sankoff.gr,K13628_genesis.gr,4,0.001552581787109375
116,K00262_sankoff.gr,K01724_genesis.gr,6,0.002275228500366211
117,K00262_sankoff.gr,K03980_fitch.gr,11,0.0021963119506835938
118,K00262_sankoff.gr,K02221_sankoff.gr,5,0.0015745162963867188
119,K00262_sankoff.gr,K03820_fitch.gr,12,0.0013861656188964844
120,K00262_sankoff.gr,K01903_sankoff.gr,8,0.0013518333435058594
121,K00262_sankoff.gr,K02259_fitch.gr,7,0.0017559528350830078
122,K00262_sankoff.gr,K00632_sankoff.gr,6,0.0020589828491210938
123,K00262_sankoff.gr,K03820_genesis.gr,3,0.0019388198852539062
124,K00262_sankoff.gr,K06980_genesis.gr,4,0.0015716552734375
125,K00262_sankoff.gr,K04068_fitch.gr,12,0.0014023780822753906
126,K00262_sankoff.gr,K01589_genesis.gr,7,0.0013289451599121094
127,K00262_sankoff.gr,K01772_fitch.gr,11,0.0016603469848632812
128,K00262_sankoff.gr,K00254_sankoff.gr,7,0.0015347003936767578
129,K00262_sankoff.gr,K00162_fitch.gr,6,0.002892017364501953
130,K00262_sankoff.gr,K02274_sankoff.gr,4,0.0018715858459472656
131,K00262_sankoff.gr,K03667_sankoff.gr,7,0.00136566162109375
132,K00254_genesis.gr,K00262_sankoff.gr,7,0.0013968944549560547
133,K00254_genesis.gr,K00254_genesis.gr,0,0.001607656478881836
134,K00254_genesis.gr,K01419_fitch.gr,6,0.0015938282012939453
135,K00254_genesis.gr,K01638_genesis.gr,3,0.002691507339477539
136,K00254_genesis.gr,K02276_fitch.gr,7,0.002115488052368164
137,K00254_genesis.gr,K00573_genesis.gr,4,0.0014312267303466797
138,K00254_genesis.gr,K07146_sankoff.gr,7,0.0014698505401611328
139,K00254_genesis.gr,K00262_fitch.gr,15,0.001550912857055664
140,K00254_genesis.gr,K06980_fitch.gr,7,0.0017435550689697266
141,K00254_genesis.gr,K01419_genesis.gr,6,0.0022766590118408203
142,K00254_genesis.gr,K03980_sankoff.gr,4,0.002156496047973633
143,K00254_genesis.gr,K01589_fitch.gr,15,0.0017657279968261719
144,K00254_genesis.gr,K02275_sankoff.gr,3,0.001390218734741211
145,K00254_genesis.gr,K06980_sankoff.gr,3,0.0013904571533203125
146,K00254_genesis.gr,K00164_sankoff.gr,5,0.0016553401947021484
